,"lambda_i,1",Ri/(Ri+Si)
0,1.909775259422335,0.778
1,1.7509861856452738,0.654
2,1.7159265129136623,0.715
3,1.4776874268009283,0.598
4,1.7343287601124715,0.684
5,1.789356955016151,0.714
6,0.647035124953274,0.028
7,0.43234778463769397,0.016
8,0.2747820488065522,0.022
9,0.8907702737544407,0.036
10,1.695801669082099,0.735
11,0.8545319595728349,0.017
12,0.8468717767565934,0.044
13,0.8948951289503373,0.078
14,0.7285745965652828,0.052
15,1.7244806391171863,0.731
16,1.0404269807485245,0.194
17,0.5527452140738096,0.011
18,1.8018470884885127,0.669
19,1.2230237612128851,0.338
20,0.3870074213314898,0.016
21,1.1657682065840913,0.16
22,0.5603879062429655,0.014
23,1.226486609068841,0.377
24,0.15563820519907234,0.012
25,1.44422607395506,0.622
26,1.4727524151180325,0.575
27,1.8097225603874973,0.789
28,0.7656003187685398,0.033
29,1.0783541463471613,0.357
30,0.7447053838778517,0.051
31,0.3052611165262915,0.013
32,0.912003119529365,0.02
33,0.5843166582241786,0.042
34,0.9694991620262778,0.197
35,1.3797760804904629,0.522
36,1.4598241202098041,0.522
37,0.3027108393322586,0.015
38,0.4197398683910909,0.026
39,1.4768487819145966,0.701
40,0.28911522222978814,0.012
41,0.5572616897146585,0.017
42,1.3907704804193088,0.542
43,0.9880690975464672,0.176
44,0.7944115439110639,0.026
45,0.5372047820407535,0.024
46,0.2801448435544438,0.017
47,1.7458437821331731,0.731
48,1.7201008620862854,0.607
49,0.5774407705862101,0.015
50,1.2003117182598615,0.365
51,1.0739314647157454,0.099
52,1.9251307252329597,0.789
53,0.44027657889669225,0.017
54,0.2207136896601376,0.01
55,1.8098859087935153,0.754
56,0.6540360126068647,0.041
57,0.879051021541662,0.048
58,0.7376068581798698,0.03
59,1.572074205289396,0.564
60,0.2110280738979533,0.018
61,0.8644617319818872,0.089
62,1.8199445674039378,0.762
63,1.3526649347723643,0.012
64,0.10146505329966238,0.011
65,1.706295543697734,0.697
66,0.682342411080618,0.015
67,0.8476603992410499,0.049
68,1.2350662710387759,0.312
69,0.785657502210316,0.058
70,0.3962557992103646,0.02
71,1.5856958547245534,0.694
72,0.5416342976540045,0.014
73,1.5835034453654926,0.671
74,0.5773217287749044,0.038
75,0.8619530762340291,0.036
76,0.664630488115695,0.014
77,1.1743174410981359,0.063
78,1.1430142601354014,0.379
79,0.32947793716826745,0.012
80,0.2607991910904508,0.012
81,1.1526403907670004,0.305
82,1.9397144901254237,0.78
83,0.28872351956199616,0.013
84,0.267809825289109,0.01
85,0.31807312727893877,0.014
86,0.7839201399442068,0.024
87,0.1647437447282849,0.012
88,1.8210165333926462,0.792
89,0.7164505882507892,0.049
90,1.1955711793920278,0.476
91,0.9098853971637848,0.074
92,0.3877068677440132,0.015
93,1.7515452511511889,0.694
94,0.20605383265140742,0.011
95,1.6911816114860863,0.725
96,0.9569181746244872,0.038
97,1.5225247279482985,0.64
98,0.000959686914640212,0.01
99,0.8134774432237541,0.083
