,"lambda_i,1",Ri/(Ri+Si)
0,0.7141378262675824,0.0
1,0.5655820208606404,0.0
2,0.661742616494962,0.0
3,1.027717625661665,0.6361460203470976
4,0.33195701036705816,0.0
5,0.13469772087419463,0.0
6,1.4522857478424047,0.6814712005551701
7,0.3853565638326353,0.0
8,1.3190783826195753,0.6550412175015853
9,1.5958944524440366,0.0
10,0.22579013731689024,0.002004008016032064
11,1.9131438519653592,0.7116981132075472
12,1.6888821706891504,0.6935261707988981
13,1.950254162316703,0.7135605511240029
14,0.15535706107841696,0.0
15,0.3160213113625374,0.0
16,0.4333733264584769,0.0
17,1.8957974369426798,0.7111274871039057
18,1.9455902314607458,0.7075542258788332
19,0.7056680648535376,0.0
20,0.358923207653679,0.0
21,1.9564179636460697,0.7203065134099617
22,0.8241496327411757,0.0
23,0.6720131858037091,0.0019455252918287938
24,0.27962673481062605,0.0
25,0.22667749378772273,0.0
26,1.2972812295490397,0.6545801526717557
27,1.9789249232931894,0.6997776130467013
28,0.5509478604029263,0.0
29,1.9363475971980055,0.7204874333587205
30,1.62253346473479,0.706959706959707
31,0.03891616549044086,0.0
32,0.005622678203473175,0.0
33,1.8156624016552552,0.7043090638930164
34,1.3125231491648945,0.6795131845841785
35,0.7115627962110029,0.0
36,0.1445862738615551,0.0
37,0.21419544230853527,0.0
38,0.14059095080771322,0.0
39,1.1161741594598624,0.6416464891041163
40,1.9570256252522167,0.7291507268553941
41,1.7852086742414957,0.6847672778561354
42,0.5415975187563629,0.0
43,0.6654209858507927,0.0
44,0.22449396086295614,0.0
45,1.3090172643463553,0.6824887748556767
46,0.4457894511501319,0.0
47,0.6640556282202934,0.0
48,1.6739058128924837,0.7043048694424842
49,0.11519165418377364,0.0
50,0.6702120101988762,0.0
51,1.3730725718182955,0.6671078755790867
52,1.9038089197645212,0.7177068214804064
53,1.308787496826473,0.6940942269409422
54,1.3305347434825117,0.6929133858267716
55,1.0857618381005634,0.6355475763016158
56,1.0416033679038605,0.6604342581423401
57,0.13877510981024543,0.0
58,0.5207098620274091,0.0
59,0.27432313518729035,0.0
60,0.675321931814094,0.0
61,1.0924263251281678,0.6692771084337349
62,1.4491633742357735,0.6735924932975871
63,0.1593538528179057,0.0
64,1.4056046092082595,0.6826923076923077
65,0.8187160119907528,0.6102984201287303
66,1.6523299350119125,0.7027027027027027
67,1.8793136935834938,0.7045968349660889
68,1.3389159474447465,0.6727045596502186
69,1.1899242957001201,0.6713917525773195
70,1.9558910084528467,0.7501995211492418
71,1.8033416295365545,0.7014925373134329
72,1.4660472738365735,0.668806161745828
73,0.6984978211959392,0.0
74,1.8306505598021596,0.702819956616052
75,1.827753578476,0.7129291453615778
76,0.8980188045426634,0.6222616933096506
77,1.2708176925315495,0.663258785942492
78,0.68637794101298,0.0
79,1.2003544957653651,0.6718346253229974
80,1.7992840036037385,0.7007246376811594
81,1.552051996614923,0.6909090909090909
82,0.9690935732163495,0.0
83,0.4069547721380382,0.0
84,1.877759948797921,0.6921944035346097
85,0.11667595046550039,0.0
86,0.957808810355222,0.0
87,1.656907462058367,0.6999282124910265
88,1.568747789303982,0.7067510548523207
89,1.1407313445798781,0.6727386934673367
90,0.39208562611162145,0.0
91,0.07166345645466121,0.0
92,0.6848029818876733,0.0
93,0.7839275401901427,0.6186152099886493
94,0.1234030234374115,0.0
95,1.760676880915438,0.6925795053003534
96,0.038763667216099806,0.0
97,1.067548989073154,0.6564228641671789
98,1.0587715283874177,0.6534954407294833
99,0.22877346162953494,0.0
